base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user10,user1->user10,multimodal,,kofm,4,0.6274999999999995,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user1,user11,user1->user11,multimodal,,mean,,0.7111024260520935,0.5753108263015747,8,2,13,17,0.625,0.8947368421052632,0.5666666666666667,0.6938775510204083,0.2,0.43333333333333335,0.1
user1,user12,user1->user12,multimodal,,mean,,0.6798312664031982,0.703607976436615,8,2,3,27,0.875,0.9310344827586207,0.9,0.9152542372881356,0.2,0.1,0.09999999999999999
user1,user2,user1->user2,multimodal,,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user1,user3,user1->user3,multimodal,,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user1,user4,user1->user4,multimodal,,max,,0.9955768585205078,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user1,user5,user1->user5,multimodal,,max,,0.9957334995269775,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user1,user6,user1->user6,multimodal,,max,,0.9956517815589905,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user1,user7,user1->user7,multimodal,,kofm,4,0.6274999999999995,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.033333333333333326
user1,user8,user1->user8,multimodal,,mean,,0.6854391694068909,0.8450442552566528,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user9,user1->user9,multimodal,,max,,0.9957898855209351,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user10,user1,user10->user1,multimodal,,kofm,4,0.6274999999999995,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user11,user10->user11,multimodal,,mean,,0.688422679901123,0.9999953508377075,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user12,user10->user12,multimodal,,mean,,0.6373907327651978,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user2,user10->user2,multimodal,,mean,,0.6460453271865845,0.9671966433525085,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user3,user10->user3,multimodal,,mean,,0.679501473903656,0.9775978922843933,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user4,user10->user4,multimodal,,mean,,0.6362540125846863,0.8649910092353821,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user10,user5,user10->user5,multimodal,,kofm,4,0.6274999999999995,0.75,8,2,15,15,0.575,0.8823529411764706,0.5,0.6382978723404256,0.2,0.5,0.35
user10,user6,user10->user6,multimodal,,mean,,0.6051211357116699,0.8567713499069214,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.0
user10,user7,user10->user7,multimodal,,mean,,0.6669458150863647,0.8329761624336243,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user8,user10->user8,multimodal,,mean,,0.6862172484397888,0.9777988195419312,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user9,user10->user9,multimodal,,mean,,0.6476876139640808,0.7147505283355713,7,3,2,28,0.875,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.3,0.06666666666666667,0.09999999999999999
user11,user1,user11->user1,multimodal,,mean,,0.7156638503074646,0.6338005065917969,10,0,15,15,0.625,1.0,0.5,0.6666666666666666,0.0,0.5,0.09999999999999999
user11,user10,user11->user10,multimodal,,mean,,0.6505803465843201,0.9860337972640991,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user11,user12,user11->user12,multimodal,,mean,,0.6914315223693848,0.8074876070022583,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.1333333333333333
user11,user2,user11->user2,multimodal,,mean,,0.6965542435646057,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user11,user3,user11->user3,multimodal,,max,,0.9900012612342834,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
