base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user11,user1->user11,multimodal,,mean,,0.7111024260520935,0.5753108263015747,8.0,2.0,13.0,17.0,0.625,0.8947368421052632,0.5666666666666667,0.6938775510204083,0.2,0.4333333333333333,0.1
user1,user12,user1->user12,multimodal,,mean,,0.6798312664031982,0.703607976436615,8.0,2.0,3.0,27.0,0.875,0.9310344827586208,0.9,0.9152542372881356,0.2,0.1,0.0999999999999999
user10,user4,user10->user4,multimodal,,mean,,0.6362540125846863,0.8649910092353821,6.0,4.0,0.0,30.0,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user10,user5,user10->user5,multimodal,,kofm,4.0,0.6274999999999995,0.75,8.0,2.0,15.0,15.0,0.575,0.8823529411764706,0.5,0.6382978723404256,0.2,0.5,0.35
user10,user6,user10->user6,multimodal,,mean,,0.6051211357116699,0.8567713499069214,7.0,3.0,0.0,30.0,0.925,0.9090909090909092,1.0,0.9523809523809524,0.3,0.0,0.0
user10,user9,user10->user9,multimodal,,mean,,0.6476876139640808,0.7147505283355713,7.0,3.0,2.0,28.0,0.875,0.9032258064516128,0.9333333333333332,0.918032786885246,0.3,0.0666666666666666,0.0999999999999999
user11,user1,user11->user1,multimodal,,mean,,0.7156638503074646,0.6338005065917969,10.0,0.0,15.0,15.0,0.625,1.0,0.5,0.6666666666666666,0.0,0.5,0.0999999999999999
user11,user12,user11->user12,multimodal,,mean,,0.6914315223693848,0.8074876070022583,9.0,1.0,0.0,30.0,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.1333333333333333
user12,user1,user12->user1,multimodal,,mean,,0.7052251696586609,0.6021888256072998,10.0,0.0,20.0,10.0,0.5,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.1833333333333333
user12,user11,user12->user11,multimodal,,max,,0.9954271912574768,0.905298948287964,10.0,0.0,11.0,19.0,0.725,1.0,0.6333333333333333,0.7755102040816326,0.0,0.3666666666666666,0.05
user2,user3,user2->user3,multimodal,,mean,,0.7698191404342651,0.6026113033294678,10.0,0.0,28.0,2.0,0.3,1.0,0.0666666666666666,0.125,0.0,0.9333333333333332,0.4
user3,user2,user3->user2,multimodal,,mean,,0.6755529046058655,0.5906882882118225,8.0,2.0,19.0,11.0,0.475,0.8461538461538461,0.3666666666666666,0.5116279069767441,0.2,0.6333333333333333,0.3166666666666666
user4,user10,user4->user10,multimodal,,mean,,0.6697966456413269,0.6822961568832397,9.0,1.0,0.0,30.0,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user4,user5,user4->user5,multimodal,,mean,,0.6914718747138977,0.6839185357093811,10.0,0.0,1.0,29.0,0.975,1.0,0.9666666666666668,0.983050847457627,0.0,0.0333333333333333,0.0
user4,user6,user4->user6,multimodal,,mean,,0.6704005002975464,0.6692208647727966,10.0,0.0,7.0,23.0,0.825,1.0,0.7666666666666667,0.8679245283018869,0.0,0.2333333333333333,0.0
user4,user9,user4->user9,multimodal,,mean,,0.6521616578102112,0.6845189332962036,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user10,user5->user10,multimodal,,mean,,0.739785373210907,0.4942582249641418,10.0,0.0,29.0,1.0,0.275,1.0,0.0333333333333333,0.064516129032258,0.0,0.9666666666666668,0.4333333333333333
user5,user4,user5->user4,multimodal,,kofm,4.0,0.8774999999999995,0.75,10.0,0.0,12.0,18.0,0.7,1.0,0.6,0.7499999999999999,0.0,0.4,0.1
user5,user6,user5->user6,multimodal,,kofm,4.0,0.8774999999999995,0.75,10.0,0.0,28.0,2.0,0.3,1.0,0.0666666666666666,0.125,0.0,0.9333333333333332,0.05
user5,user9,user5->user9,multimodal,,mean,,0.6933093667030334,0.5579488277435303,10.0,0.0,27.0,3.0,0.325,1.0,0.1,0.1818181818181818,0.0,0.9,0.4333333333333333
user6,user1,user6->user1,multimodal,,mean,,0.6590026617050171,0.879971981048584,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user10,user6->user10,multimodal,,mean,,0.6799253821372986,0.8591537475585938,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user4,user6->user4,multimodal,,mean,,0.7468446493148804,0.8483996391296387,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user5,user6->user5,multimodal,,mean,,0.6537697315216064,0.8566359877586365,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user6,user9,user6->user9,multimodal,,mean,,0.6516270637512207,0.85837721824646,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user8,user7->user8,multimodal,,kofm,4.0,0.8774999999999995,0.5,10.0,0.0,28.0,2.0,0.3,1.0,0.0666666666666666,0.125,0.0,0.9333333333333332,0.15
user8,user7,user8->user7,multimodal,,mean,,0.6783249378204346,0.6479909420013428,10.0,0.0,1.0,29.0,0.975,1.0,0.9666666666666668,0.983050847457627,0.0,0.0333333333333333,0.0
user9,user10,user9->user10,multimodal,,mean,,0.6933477520942688,0.6076114177703857,9.0,1.0,26.0,4.0,0.325,0.8,0.1333333333333333,0.2285714285714286,0.1,0.8666666666666667,0.6
user9,user4,user9->user4,multimodal,,kofm,4.0,0.8774999999999995,0.75,10.0,0.0,12.0,18.0,0.7,1.0,0.6,0.7499999999999999,0.0,0.4,0.1
user9,user5,user9->user5,multimodal,,mean,,0.736129641532898,0.5496410727500916,10.0,0.0,28.0,2.0,0.3,1.0,0.0666666666666666,0.125,0.0,0.9333333333333332,0.7833333333333333
user9,user6,user9->user6,multimodal,,mean,,0.6649646162986755,0.8174676895141602,9.0,1.0,0.0,30.0,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
MEAN,,,,,,,0.7177896157387763,0.711448980915931,9.290322580645162,0.7096774193548387,10.483870967741936,19.516129032258064,0.7201612903225807,0.9661991475924131,0.6505376344086022,0.7022225745938827,0.07096774193548387,0.3494623655913978,0.14462365591397847
