base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user10,user1->user10,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user11,user1->user11,unimodal_all,,,,0.9926009774208069,0.44914549589157104,8,2,20,10,0.45,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.2,0.6666666666666666,0.18333333333333332
user1,user12,user1->user12,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user2,user1->user2,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user1,user3,user1->user3,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user4,user1->user4,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user5,user1->user5,unimodal_all,,,,0.9926009178161621,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.05
user1,user6,user1->user6,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user1,user7,user1->user7,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user8,user1->user8,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user9,user1->user9,unimodal_all,,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user1,user10->user1,unimodal_all,,,,0.8949777483940125,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user11,user10->user11,unimodal_all,,,,0.8949511647224426,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.2
user10,user12,user10->user12,unimodal_all,,,,0.8944687247276306,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.2
user10,user2,user10->user2,unimodal_all,,,,0.8924059271812439,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.2
user10,user3,user10->user3,unimodal_all,,,,0.8927379846572876,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user4,user10->user4,unimodal_all,,,,0.8952010869979858,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.2
user10,user5,user10->user5,unimodal_all,,,,0.8949002623558044,0.9015249013900757,5,5,24,6,0.275,0.5454545454545454,0.2,0.29268292682926833,0.5,0.8,0.65
