base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user10,user1->user10,multimodal,max,,0.9909237623214722,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.1
user1,user11,user1->user11,multimodal,mean,,0.7270527482032776,0.7004802823066711,9,1,11,19,0.7,0.95,0.6333333333333333,0.7599999999999999,0.1,0.36666666666666664,0.23333333333333336
user1,user12,user1->user12,multimodal,mean,,0.8076187372207642,0.682571291923523,10,0,16,14,0.6,1.0,0.4666666666666667,0.6363636363636364,0.0,0.5333333333333333,0.16666666666666666
user1,user2,user1->user2,multimodal,mean,,0.6507842540740967,0.9929455518722534,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user1,user3,user1->user3,multimodal,max,,0.9903880953788757,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user1,user4,user1->user4,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user1,user5,user1->user5,multimodal,kofm,4,0.8774999999999995,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user1,user6,user1->user6,multimodal,mean,,0.7334356307983398,0.9113578796386719,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user7,user1->user7,multimodal,mean,,0.7895336747169495,0.8901150822639465,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user8,user1->user8,multimodal,max,,0.9823156595230103,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user1,user9,user1->user9,multimodal,kofm,4,0.8774999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.15
user10,user1,user10->user1,multimodal,max,,0.984299898147583,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.15
user10,user11,user10->user11,multimodal,mean,,0.6714987754821777,0.9920676946640015,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user12,user10->user12,multimodal,mean,,0.6754847764968872,0.999951958656311,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user2,user10->user2,multimodal,mean,,0.6506606340408325,0.9999986886978149,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.0
user10,user3,user10->user3,multimodal,mean,,0.6523310542106628,0.9957611560821533,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user10,user4,user10->user4,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.11666666666666667
user10,user5,user10->user5,multimodal,kofm,4,0.75,0.75,7,3,1,29,0.9,0.90625,0.9666666666666667,0.9354838709677419,0.3,0.03333333333333333,0.16666666666666666
user10,user6,user10->user6,multimodal,mean,,0.6505258679389954,0.8153576850891113,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user7,user10->user7,multimodal,mean,,0.710236668586731,0.8527196645736694,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user10,user8,user10->user8,multimodal,kofm,4,0.8774999999999995,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.05
user10,user9,user10->user9,multimodal,kofm,4,0.75,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.16666666666666663
user11,user1,user11->user1,multimodal,kofm,4,1.0,0.75,9,1,18,12,0.525,0.9230769230769231,0.4,0.5581395348837209,0.1,0.6,0.11666666666666667
user11,user10,user11->user10,multimodal,mean,,0.763677179813385,0.9455462694168091,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user11,user12,user11->user12,multimodal,kofm,4,1.0,1.0,8,2,14,16,0.6,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.2,0.4666666666666667,0.33333333333333337
user11,user2,user11->user2,multimodal,mean,,0.7682684659957886,0.9758937954902649,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user11,user3,user11->user3,multimodal,mean,,0.7878656983375549,0.9998411536216736,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user11,user4,user11->user4,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.05
user11,user5,user11->user5,multimodal,mean,,0.7474237680435181,0.9522742629051208,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user11,user6,user11->user6,multimodal,mean,,0.7498345971107483,0.9053415060043335,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user11,user7,user11->user7,multimodal,kofm,4,0.8774999999999995,1.0,9,1,4,26,0.875,0.9629629629629629,0.8666666666666667,0.912280701754386,0.1,0.13333333333333333,0.11666666666666665
user11,user8,user11->user8,multimodal,kofm,4,1.0,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user11,user9,user11->user9,multimodal,mean,,0.7730706334114075,0.9482982158660889,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user1,user12->user1,multimodal,mean,,0.7934582829475403,0.6943240761756897,8,2,18,12,0.5,0.8571428571428571,0.4,0.5454545454545455,0.2,0.6,0.2833333333333333
user12,user10,user12->user10,multimodal,max,,0.9940887689590454,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user12,user11,user12->user11,multimodal,max,,0.9867706894874573,0.9927806258201599,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user2,user12->user2,multimodal,kofm,4,1.0,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.05
user12,user3,user12->user3,multimodal,max,,0.9753633737564087,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user12,user4,user12->user4,multimodal,max,,0.9881384372711182,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,multimodal,max,,0.9848837852478027,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user12,user6,user12->user6,multimodal,mean,,0.6358655095100403,0.8769254088401794,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user12,user7,user12->user7,multimodal,kofm,4,0.8774999999999995,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user12,user8,user12->user8,multimodal,max,,0.9835171103477478,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user12,user9,user12->user9,multimodal,max,,0.9780343174934387,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user2,user1,user2->user1,multimodal,kofm,4,1.0,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user2,user10,user2->user10,multimodal,kofm,4,0.75,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.0
user2,user11,user2->user11,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
