base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user11,user1->user11,multimodal,mean,,0.7270527482032776,0.7004802823066711,9.0,1.0,11.0,19.0,0.7,0.95,0.6333333333333333,0.7599999999999999,0.1,0.3666666666666666,0.2333333333333333
user1,user12,user1->user12,multimodal,mean,,0.8076187372207642,0.682571291923523,10.0,0.0,16.0,14.0,0.6,1.0,0.4666666666666667,0.6363636363636364,0.0,0.5333333333333333,0.1666666666666666
user10,user4,user10->user4,multimodal,kofm,4.0,0.75,1.0,4.0,6.0,0.0,30.0,0.85,0.8333333333333334,1.0,0.9090909090909092,0.6,0.0,0.1166666666666666
user10,user5,user10->user5,multimodal,kofm,4.0,0.75,0.75,7.0,3.0,1.0,29.0,0.9,0.90625,0.9666666666666668,0.935483870967742,0.3,0.0333333333333333,0.1666666666666666
user10,user6,user10->user6,multimodal,mean,,0.6505258679389954,0.8153576850891113,9.0,1.0,0.0,30.0,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user9,user10->user9,multimodal,kofm,4.0,0.75,1.0,7.0,3.0,0.0,30.0,0.925,0.9090909090909092,1.0,0.9523809523809524,0.3,0.0,0.1666666666666666
user11,user1,user11->user1,multimodal,kofm,4.0,1.0,0.75,9.0,1.0,18.0,12.0,0.525,0.9230769230769232,0.4,0.5581395348837209,0.1,0.6,0.1166666666666666
user11,user12,user11->user12,multimodal,kofm,4.0,1.0,1.0,8.0,2.0,14.0,16.0,0.6,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.2,0.4666666666666667,0.3333333333333333
user12,user1,user12->user1,multimodal,mean,,0.7934582829475403,0.6943240761756897,8.0,2.0,18.0,12.0,0.5,0.8571428571428571,0.4,0.5454545454545455,0.2,0.6,0.2833333333333333
user12,user11,user12->user11,multimodal,max,,0.9867706894874572,0.99278062582016,10.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
