base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user10,user1->user10,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user11,user1->user11,multimodal,kofm,4,0.75,0.75,9,1,15,15,0.6,0.9375,0.5,0.6521739130434783,0.1,0.5,0.3
user1,user12,user1->user12,multimodal,kofm,4,0.75,0.75,9,1,5,25,0.85,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.1,0.16666666666666666,0.1333333333333333
user1,user2,user1->user2,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user3,user1->user3,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user4,user1->user4,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user5,user1->user5,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user6,user1->user6,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user7,user1->user7,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user8,user1->user8,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user9,user1->user9,multimodal,kofm,4,0.75,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user1,user10->user1,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user11,user10->user11,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user12,user10->user12,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user2,user10->user2,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user3,user10->user3,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user4,user10->user4,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.15
user10,user5,user10->user5,multimodal,kofm,4,0.75,0.75,4,6,11,19,0.575,0.76,0.6333333333333333,0.6909090909090909,0.6,0.36666666666666664,0.48333333333333334
user10,user6,user10->user6,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.33333333333333337
user10,user7,user10->user7,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.2666666666666667
user10,user8,user10->user8,multimodal,kofm,4,0.75,1.0,4,6,0,30,0.85,0.8333333333333334,1.0,0.9090909090909091,0.6,0.0,0.1
user10,user9,user10->user9,multimodal,kofm,4,0.75,1.0,4,6,4,26,0.75,0.8125,0.8666666666666667,0.8387096774193549,0.6,0.13333333333333333,0.4
user11,user1,user11->user1,multimodal,kofm,4,0.6274999999999995,0.75,7,3,5,25,0.8,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.3,0.16666666666666666,0.2333333333333333
user11,user10,user11->user10,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user12,user11->user12,multimodal,kofm,4,0.6274999999999995,0.75,7,3,2,28,0.875,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.3,0.06666666666666667,0.18333333333333332
user11,user2,user11->user2,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user3,user11->user3,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user4,user11->user4,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user5,user11->user5,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user6,user11->user6,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.06666666666666667
user11,user7,user11->user7,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.09999999999999999
user11,user8,user11->user8,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user11,user9,user11->user9,multimodal,kofm,4,0.6274999999999995,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
user12,user1,user12->user1,multimodal,kofm,4,0.8774999999999995,0.5,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.4
user12,user10,user12->user10,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user11,user12->user11,multimodal,kofm,4,0.8774999999999995,0.75,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.2833333333333333
user12,user2,user12->user2,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user3,user12->user3,multimodal,kofm,4,0.8774999999999995,1.0,10,0,1,29,0.975,1.0,0.9666666666666667,0.983050847457627,0.0,0.03333333333333333,0.016666666666666663
user12,user4,user12->user4,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user6,user12->user6,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user7,user12->user7,multimodal,kofm,4,0.8774999999999995,1.0,10,0,2,28,0.95,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667,0.033333333333333326
user12,user8,user12->user8,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user9,user12->user9,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user1,user2->user1,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user10,user2->user10,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user11,user2->user11,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user12,user2->user12,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user3,user2->user3,multimodal,kofm,4,0.75,0.75,5,5,17,13,0.45,0.7222222222222222,0.43333333333333335,0.5416666666666666,0.5,0.5666666666666667,0.5333333333333333
user2,user4,user2->user4,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user5,user2->user5,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user6,user2->user6,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user7,user2->user7,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user2,user8,user2->user8,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.08333333333333331
user2,user9,user2->user9,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user3,user1,user3->user1,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user10,user3->user10,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user11,user3->user11,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user12,user3->user12,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user2,user3->user2,multimodal,kofm,4,0.75,0.5,10,0,22,8,0.45,1.0,0.26666666666666666,0.4210526315789474,0.0,0.7333333333333333,0.5
user3,user4,user3->user4,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user5,user3->user5,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user6,user3->user6,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user7,user3->user7,multimodal,kofm,4,0.75,0.75,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user8,user3->user8,multimodal,kofm,4,0.75,0.75,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user9,user3->user9,multimodal,kofm,4,0.75,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user1,user4->user1,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user4,user10,user4->user10,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.18333333333333335
user4,user11,user4->user11,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user4,user12,user4->user12,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user4,user2,user4->user2,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user4,user3,user4->user3,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user4,user5,user4->user5,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.16666666666666669
user4,user6,user4->user6,multimodal,kofm,4,0.75,0.75,5,5,3,27,0.8,0.84375,0.9,0.870967741935484,0.5,0.1,0.3
user4,user7,user4->user7,multimodal,kofm,4,0.75,0.75,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.25
user4,user8,user4->user8,multimodal,kofm,4,0.75,0.75,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.25
user4,user9,user4->user9,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.13333333333333336
user5,user1,user5->user1,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user10,user5->user10,multimodal,kofm,4,0.8774999999999995,0.75,10,0,24,6,0.4,1.0,0.2,0.33333333333333337,0.0,0.8,0.3833333333333333
user5,user11,user5->user11,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user12,user5->user12,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user2,user5->user2,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user3,user5->user3,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user4,user5->user4,multimodal,kofm,4,0.8774999999999995,0.75,10,0,9,21,0.775,1.0,0.7,0.8235294117647058,0.0,0.3,0.15
user5,user6,user5->user6,multimodal,kofm,4,0.8774999999999995,0.75,10,0,13,17,0.675,1.0,0.5666666666666667,0.7234042553191489,0.0,0.43333333333333335,0.15
user5,user7,user5->user7,multimodal,kofm,4,0.8774999999999995,1.0,10,0,6,24,0.85,1.0,0.8,0.888888888888889,0.0,0.2,0.09999999999999998
user5,user8,user5->user8,multimodal,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user5,user9,user5->user9,multimodal,kofm,4,0.8774999999999995,0.75,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.4666666666666667
user6,user1,user6->user1,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.06666666666666667
user6,user10,user6->user10,multimodal,kofm,4,0.75,0.75,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user6,user11,user6->user11,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.08333333333333333
user6,user12,user6->user12,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user2,user6->user2,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user3,user6->user3,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user4,user6->user4,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.09999999999999999
user6,user5,user6->user5,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user7,user6->user7,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user8,user6->user8,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user9,user6->user9,multimodal,kofm,4,0.75,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.09999999999999999
user7,user1,user7->user1,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.016666666666666663
user7,user10,user7->user10,multimodal,kofm,4,0.75,0.75,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.25
user7,user11,user7->user11,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.033333333333333326
user7,user12,user7->user12,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.033333333333333326
user7,user2,user7->user2,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user7,user3,user7->user3,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user7,user4,user7->user4,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user7,user5,user7->user5,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.21666666666666667
user7,user6,user7->user6,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.0
user7,user8,user7->user8,multimodal,kofm,4,0.75,0.75,5,5,4,26,0.775,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.5,0.13333333333333333,0.31666666666666665
user7,user9,user7->user9,multimodal,kofm,4,0.75,1.0,5,5,0,30,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.21666666666666667
user8,user1,user8->user1,multimodal,kofm,4,1.0,1.0,10,0,1,29,0.975,1.0,0.9666666666666667,0.983050847457627,0.0,0.03333333333333333,0.016666666666666663
user8,user10,user8->user10,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user11,user8->user11,multimodal,kofm,4,1.0,1.0,10,0,2,28,0.95,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667,0.033333333333333326
user8,user12,user8->user12,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user2,user8->user2,multimodal,kofm,4,1.0,0.75,10,0,19,11,0.525,1.0,0.36666666666666664,0.5365853658536585,0.0,0.6333333333333333,0.2
user8,user3,user8->user3,multimodal,kofm,4,1.0,0.75,10,0,21,9,0.475,1.0,0.3,0.4615384615384615,0.0,0.7,0.2
user8,user4,user8->user4,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user5,user8->user5,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user6,user8->user6,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user7,user8->user7,multimodal,kofm,4,1.0,0.75,10,0,22,8,0.45,1.0,0.26666666666666666,0.4210526315789474,0.0,0.7333333333333333,0.25
user8,user9,user8->user9,multimodal,kofm,4,1.0,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user9,user1,user9->user1,multimodal,kofm,4,0.75,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.05
