base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user11,user1->user11,multimodal,kofm,4,0.75,0.75,9.0,1.0,15.0,15.0,0.6,0.9375,0.5,0.6521739130434783,0.1,0.5,0.3
user1,user12,user1->user12,multimodal,kofm,4,0.75,0.75,9.0,1.0,5.0,25.0,0.85,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.1,0.1666666666666666,0.1333333333333333
user10,user4,user10->user4,multimodal,kofm,4,0.75,1.0,4.0,6.0,0.0,30.0,0.85,0.8333333333333334,1.0,0.9090909090909092,0.6,0.0,0.15
user10,user5,user10->user5,multimodal,kofm,4,0.75,0.75,4.0,6.0,11.0,19.0,0.575,0.76,0.6333333333333333,0.6909090909090909,0.6,0.3666666666666666,0.4833333333333333
user10,user6,user10->user6,multimodal,kofm,4,0.75,1.0,4.0,6.0,0.0,30.0,0.85,0.8333333333333334,1.0,0.9090909090909092,0.6,0.0,0.3333333333333333
user10,user9,user10->user9,multimodal,kofm,4,0.75,1.0,4.0,6.0,4.0,26.0,0.75,0.8125,0.8666666666666667,0.8387096774193549,0.6,0.1333333333333333,0.4
user11,user1,user11->user1,multimodal,kofm,4,0.6274999999999995,0.75,7.0,3.0,5.0,25.0,0.8,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.3,0.1666666666666666,0.2333333333333333
user11,user12,user11->user12,multimodal,kofm,4,0.6274999999999995,0.75,7.0,3.0,2.0,28.0,0.875,0.9032258064516128,0.9333333333333332,0.918032786885246,0.3,0.0666666666666666,0.1833333333333333
user12,user1,user12->user1,multimodal,kofm,4,0.8774999999999995,0.5,10.0,0.0,30.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.4
user12,user11,user12->user11,multimodal,kofm,4,0.8774999999999995,0.75,10.0,0.0,30.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.2833333333333333
user2,user3,user2->user3,multimodal,kofm,4,0.75,0.75,5.0,5.0,17.0,13.0,0.45,0.7222222222222222,0.4333333333333333,0.5416666666666666,0.5,0.5666666666666667,0.5333333333333333
user3,user2,user3->user2,multimodal,kofm,4,0.75,0.5,10.0,0.0,22.0,8.0,0.45,1.0,0.2666666666666666,0.4210526315789474,0.0,0.7333333333333333,0.5
user4,user10,user4->user10,multimodal,kofm,4,0.75,1.0,5.0,5.0,0.0,30.0,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.1833333333333333
user4,user5,user4->user5,multimodal,kofm,4,0.75,1.0,5.0,5.0,0.0,30.0,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.1666666666666666
user4,user6,user4->user6,multimodal,kofm,4,0.75,0.75,5.0,5.0,3.0,27.0,0.8,0.84375,0.9,0.870967741935484,0.5,0.1,0.3
user4,user9,user4->user9,multimodal,kofm,4,0.75,1.0,5.0,5.0,0.0,30.0,0.875,0.8571428571428571,1.0,0.923076923076923,0.5,0.0,0.1333333333333333
user5,user10,user5->user10,multimodal,kofm,4,0.8774999999999995,0.75,10.0,0.0,24.0,6.0,0.4,1.0,0.2,0.3333333333333333,0.0,0.8,0.3833333333333333
user5,user4,user5->user4,multimodal,kofm,4,0.8774999999999995,0.75,10.0,0.0,9.0,21.0,0.775,1.0,0.7,0.8235294117647058,0.0,0.3,0.15
user5,user6,user5->user6,multimodal,kofm,4,0.8774999999999995,0.75,10.0,0.0,13.0,17.0,0.675,1.0,0.5666666666666667,0.7234042553191489,0.0,0.4333333333333333,0.15
user5,user9,user5->user9,multimodal,kofm,4,0.8774999999999995,0.75,10.0,0.0,28.0,2.0,0.3,1.0,0.0666666666666666,0.125,0.0,0.9333333333333332,0.4666666666666667
user6,user1,user6->user1,multimodal,kofm,4,0.75,1.0,8.0,2.0,0.0,30.0,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0666666666666666
user6,user10,user6->user10,multimodal,kofm,4,0.75,0.75,8.0,2.0,0.0,30.0,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.1
user6,user4,user6->user4,multimodal,kofm,4,0.75,1.0,8.0,2.0,0.0,30.0,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0999999999999999
user6,user5,user6->user5,multimodal,kofm,4,0.75,1.0,8.0,2.0,0.0,30.0,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.05
user6,user9,user6->user9,multimodal,kofm,4,0.75,1.0,8.0,2.0,0.0,30.0,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0999999999999999
user7,user8,user7->user8,multimodal,kofm,4,0.75,0.75,5.0,5.0,4.0,26.0,0.775,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.5,0.1333333333333333,0.3166666666666666
user8,user7,user8->user7,multimodal,kofm,4,1.0,0.75,10.0,0.0,22.0,8.0,0.45,1.0,0.2666666666666666,0.4210526315789474,0.0,0.7333333333333333,0.25
user9,user10,user9->user10,multimodal,kofm,4,0.75,0.75,7.0,3.0,13.0,17.0,0.6,0.85,0.5666666666666667,0.68,0.3,0.4333333333333333,0.3666666666666667
user9,user4,user9->user4,multimodal,kofm,4,0.75,0.75,7.0,3.0,0.0,30.0,0.925,0.9090909090909092,1.0,0.9523809523809524,0.3,0.0,0.15
user9,user5,user9->user5,multimodal,kofm,4,0.75,0.75,7.0,3.0,19.0,11.0,0.45,0.7857142857142857,0.3666666666666666,0.5,0.3,0.6333333333333333,0.4666666666666667
user9,user6,user9->user6,multimodal,kofm,4,0.75,0.75,7.0,3.0,0.0,30.0,0.925,0.9090909090909092,1.0,0.9523809523809524,0.3,0.0,0.15
MEAN,,,,,,0.7748387096774192,0.8145161290322581,7.290322580645161,2.7096774193548385,8.903225806451612,21.096774193548388,0.7096774193548387,0.8403804726606495,0.7032258064516129,0.7251000462837446,0.2709677419354839,0.2967741935483871,0.25752688172043015
