base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user1,user10,user1->user10,unimodal,,,0.9926009774208069,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user1,user11,user1->user11,unimodal,,,0.9926009774208069,0.44914549589157104,9,1,30,0,0.225,0.0,0.0,0.0,0.1,1.0,0.35
user1,user12,user1->user12,unimodal,,,0.9926009774208069,0.9992744326591492,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.14999999999999997
user1,user2,user1->user2,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user3,user1->user3,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user4,user1->user4,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user5,user1->user5,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user6,user1->user6,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user7,user1->user7,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user8,user1->user8,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user1,user9,user1->user9,unimodal,,,0.9926009774208069,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user10,user1,user10->user1,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user11,user10->user11,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user12,user10->user12,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user2,user10->user2,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user3,user10->user3,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user4,user10->user4,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user5,user10->user5,unimodal,,,0.9736379981040955,0.8245237469673157,6,4,24,6,0.3,0.6,0.2,0.3,0.4,0.8,0.65
user10,user6,user10->user6,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user7,user10->user7,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user8,user10->user8,unimodal,,,0.9736379981040955,1.0,6,4,0,30,0.9,0.8823529411764706,1.0,0.9375,0.4,0.0,0.2
user10,user9,user10->user9,unimodal,,,0.9736379981040955,1.0,6,4,11,19,0.625,0.8260869565217391,0.6333333333333333,0.7169811320754716,0.4,0.36666666666666664,0.48333333333333334
user11,user1,user11->user1,unimodal,,,0.792117714881897,0.6981537938117981,7,3,23,7,0.35,0.7,0.23333333333333334,0.35,0.3,0.7666666666666667,0.5166666666666666
user11,user10,user11->user10,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user12,user11->user12,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user2,user11->user2,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user3,user11->user3,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user4,user11->user4,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user5,user11->user5,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user6,user11->user6,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user7,user11->user7,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user8,user11->user8,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user11,user9,user11->user9,unimodal,,,0.792117714881897,1.0,7,3,0,30,0.925,0.9090909090909091,1.0,0.9523809523809523,0.3,0.0,0.1
user12,user1,user12->user1,unimodal,,,0.988922119140625,0.44657501578330994,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806,0.0,0.9666666666666667,0.0
user12,user10,user12->user10,unimodal,,,0.988922119140625,0.9999877214431763,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user11,user12->user11,unimodal,,,0.988922119140625,0.4458388686180115,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
user12,user2,user12->user2,unimodal,,,0.988922119140625,0.9999290704727173,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user3,user12->user3,unimodal,,,0.988922119140625,0.9997912049293518,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user4,user12->user4,unimodal,,,0.988922119140625,0.999915599822998,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,unimodal,,,0.988922119140625,0.9999880790710449,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user6,user12->user6,unimodal,,,0.988922119140625,0.9999959468841553,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user7,user12->user7,unimodal,,,0.988922119140625,0.7590369582176208,10,0,27,3,0.325,1.0,0.1,0.18181818181818182,0.0,0.9,0.0
user12,user8,user12->user8,unimodal,,,0.988922119140625,0.7250984907150269,10,0,21,9,0.475,1.0,0.3,0.4615384615384615,0.0,0.7,0.0
user12,user9,user12->user9,unimodal,,,0.988922119140625,0.9999889135360718,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user1,user2->user1,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user10,user2->user10,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user11,user2->user11,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user12,user2->user12,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user3,user2->user3,unimodal,,,0.9790637493133545,0.47037196159362793,10,0,26,4,0.35,1.0,0.13333333333333333,0.23529411764705882,0.0,0.8666666666666667,0.2833333333333333
